01/27/2024 21:53 | Hospital_Entrance | 0h 0m 11s
01/27/2024 21:55 | Hospital_Entrance | 0h 0m 10s
01/27/2024 21:55 | Hospital_Entrance | 0h 0m 7s
01/27/2024 22:00 | Hospital_Entrance | 0h 0m 9s
01/27/2024 22:02 | Hospital_Entrance | 0h 0m 8s
01/27/2024 22:46 | Hospital_Entrance | 0h 0m 30s
01/27/2024 22:49 | Hospital_Entrance | 0h 0m 28s
01/27/2024 22:51 | Hospital_Entrance | 0h 0m 27s
01/27/2024 22:51 | Hospital_Entrance | 0h 0m 27s
01/27/2024 22:53 | Hospital_Entrance | 0h 0m 25s
01/28/2024 01:03 | Hospital_Entrance | 0h 0m 27s
01/28/2024 02:02 | Hospital_Entrance | 0h 0m 36s
01/28/2024 02:43 | Hospital_Entrance | 0h 0m 33s
01/28/2024 02:45 | Hospital_Entrance | 0h 0m 33s
01/28/2024 03:06 | Hospital_Entrance | 0h 0m 33s
01/28/2024 03:06 | Hospital_Entrance | 0h 0m 30s
05/13/2024 01:31 | Title_Scene | 0h 0m 5s
05/13/2024 01:33 | Title_Scene | 0h 0m 2s
05/13/2024 01:33 | Title_Scene | 0h 0m 2s
05/16/2024 22:49 | Title_Scene | 0h 0m 11s
05/16/2024 22:58 | Title_Scene | 0h 0m 10s
05/16/2024 23:26 | Title_Scene | 0h 0m 12s
05/17/2024 02:18 | Title_Scene | 0h 0m 10s
05/17/2024 02:20 | Outside_Teahouse | 0h 0m 8s
05/17/2024 02:22 | Outside_Teahouse | 0h 0m 7s
05/17/2024 02:25 | Outside_Teahouse | 0h 0m 7s
05/17/2024 02:29 | Path_To_Teahouse | 0h 0m 5s
05/17/2024 02:29 | Path_To_Teahouse | 0h 0m 5s
05/17/2024 02:35 | Path_To_Teahouse | 0h 0m 5s
05/19/2024 18:59 | Outside_Teahouse | 0h 0m 8s
